['GVVVIVLAV', '1.251\r\n']
['FVLALVYLV', '1.246\r\n']
['FSCVVVLCG', '1.244\r\n']
['FCVGVVLLI', '1.242\r\n']
['CVLILASVL', '1.24\r\n']
['FLAVLCALV', '1.239\r\n']
['LVVVVASDV', '1.234\r\n']
['IGLVVVLSV', '1.23\r\n']
['PFVLVLGVV', '1.229\r\n']
['FVGLVVCGV', '1.226\r\n']
['IVIVVAVLG', '1.225\r\n']
['VIGVLVVAI', '1.225\r\n']
['IVAVVAVMV', '1.225\r\n']
['SVAILVSVV', '1.225\r\n']
['LLFILVGVV', '1.224\r\n']
['VVLVFVGSL', '1.223\r\n']
['VVALLVGCS', '1.223\r\n']
['AVVIVISAV', '1.22\r\n']
['YLEVLVVAL', '1.219\r\n']
['ILFVPVHVY', '1.219\r\n']
['LHHIVPLCL', '1.219\r\n']
['PVCLLVPIS', '1.219\r\n']
['YSLFCVGVV', '1.217\r\n']
['VLGVLVILS', '1.215\r\n']
['VVFVIAILA', '1.214\r\n']
['GHQVVVVVS', '1.213\r\n']
['LQAVGVVCI', '1.213\r\n']
['GCDICVSVC', '1.212\r\n']
['LVYVFLAAL', '1.211\r\n']
['VLLGAVLAV', '1.211\r\n']
['ALVLVLGVA', '1.211\r\n']
['VKIPIVAVV', '1.21\r\n']
['VRVAVVGYV', '1.21\r\n']
['FVLIPLALV', '1.21\r\n']
['SVLLFAPVV', '1.209\r\n']
['VCSALLAAV', '1.209\r\n']
['YIVHPICVA', '1.208\r\n']
['KLLILACCI', '1.208\r\n']
['PHLVVVAEV', '1.207\r\n']
['LVGFLCAIV', '1.207\r\n']
['WIGVVVYVL', '1.207\r\n']
['QCVIYLACS', '1.207\r\n']
['LVVIVPQVE', '1.207\r\n']
['VCVSILGVS', '1.207\r\n']
['VHVAHDCVI', '1.206\r\n']
['SSCVRVVSV', '1.206\r\n']
['IHLVFVCSA', '1.206\r\n']
['VLYVAAQVI', '1.206\r\n']
['VVLAFAYVA', '1.205\r\n']
['VVSWCVALA', '1.205\r\n']
['PVVAGVAVL', '1.205\r\n']
['YLQVFVQIV', '1.204\r\n']
['FLVAFLLVA', '1.203\r\n']
['VHPICVASL', '1.203\r\n']
['VSVCPAGVL', '1.203\r\n']
['YLVPLALLI', '1.203\r\n']
['SVVACVDAL', '1.202\r\n']
['GVSVLVGCL', '1.202\r\n']
['YLAVGVAVL', '1.201\r\n']
['VMMVCAVVI', '1.201\r\n']
['VYVVIIGLA', '1.2\r\n']
['ILGAVVALV', '1.2\r\n']
['LQYIVPVSV', '1.2\r\n']
['SLVVLLGVS', '1.2\r\n']
['IFVGLVVCG', '1.2\r\n']
['YSVVFVALA', '1.199\r\n']
['IGVLVVAII', '1.199\r\n']
['VGFLVVILS', '1.198\r\n']
['VVAFVIQLA', '1.198\r\n']
['LVCLLAVNS', '1.198\r\n']
['SHSFVVLVI', '1.197\r\n']
['FLLAFVVSL', '1.197\r\n']
['GSLACVVVS', '1.197\r\n']
['FFSFCVLVA', '1.197\r\n']
['LLVAIPAIV', '1.196\r\n']
['LGAVLAVLL', '1.196\r\n']
['VLYGLLPIV', '1.196\r\n']
['LPVLLAGLV', '1.196\r\n']
['VVVGVIYYG', '1.195\r\n']
['FLSVVVELI', '1.195\r\n']
['LLFVPPLLI', '1.195\r\n']
['LILQAVGVV', '1.195\r\n']
['FIVTLIVCS', '1.194\r\n']
['YHIALACVI', '1.194\r\n']
['LLVPWAVPV', '1.193\r\n']
['FIVLPVISL', '1.193\r\n']
['FVVGAVVIS', '1.192\r\n']
['FLIALVAVF', '1.192\r\n']
['ICILIVSAI', '1.192\r\n']
['VVVAFLSNV', '1.192\r\n']
['LYSCVGDVV', '1.192\r\n']
['YVLLHIGYV', '1.191\r\n']
['ILACCIAIA', '1.191\r\n']
['MLVVLAALL', '1.191\r\n']
['LLLGLPVLI', '1.191\r\n']
['VSSVFVPSV', '1.191\r\n']
['PLYLISVVA', '1.191\r\n']
['HCYGLGLCV', '1.191\r\n']
['FVASFLAVV', '1.191\r\n']
['VYLVIASII', '1.19\r\n']
['LGALGVVLV', '1.19\r\n']
['ACWLVVASL', '1.19\r\n']
['VVGVLGLLA', '1.19\r\n']
['ILASVLIVP', '1.19\r\n']
['IVVAFIAYL', '1.189\r\n']
['VLLGVIAFL', '1.189\r\n']
['YYVWLVALI', '1.189\r\n']
['YIFVVALIA', '1.189\r\n']
['VLLGVVGII', '1.189\r\n']
['PIVAVVAVM', '1.189\r\n']
['SNGVVVPCC', '1.189\r\n']
['LGVALACLI', '1.189\r\n']
['VVVANVASL', '1.189\r\n']
['TVYVGAVIV', '1.188\r\n']
['LCYFLAPIL', '1.188\r\n']
['YLFIFVLKV', '1.188\r\n']
['IVVVGGGVV', '1.188\r\n']
['LVFLFALPL', '1.188\r\n']
['LVGVVLELA', '1.188\r\n']
['GVNLVVGVV', '1.188\r\n']
['YFAILLCAL', '1.188\r\n']
['VFVQIVPAY', '1.188\r\n']
['SFVLVALLS', '1.188\r\n']
['EHPVPVVVA', '1.187\r\n']
['VLKGLVEVV', '1.187\r\n']
['VISLIGACV', '1.187\r\n']
['LVYVPGALL', '1.187\r\n']
['FVIIGSVLV', '1.187\r\n']
['FIVASVAIV', '1.187\r\n']
['TLGHQVVVV', '1.187\r\n']
['VTLGHQVVV', '1.187\r\n']
['SVVAIVEAV', '1.186\r\n']
['GLCIAVFVA', '1.186\r\n']
['ACIGIVGVV', '1.186\r\n']
['PLLGVIALV', '1.186\r\n']
['LCFVLGILS', '1.186\r\n']
['LGAILAVLV', '1.186\r\n']
['ALFCIVLAS', '1.186\r\n']
['SFLAVILCA', '1.186\r\n']
['FIVGLVPFV', '1.186\r\n']
['LIGAVALLV', '1.186\r\n']
['KKVHLVALV', '1.186\r\n']
['YVVKIPIVA', '1.186\r\n']
['YLGVVVPSY', '1.186\r\n']
['LLISLAIYV', '1.186\r\n']
['LFFSLVAIV', '1.186\r\n']
['VVAIIALIA', '1.185\r\n']
['YSVGVIYIV', '1.185\r\n']
['VYLILGVAI', '1.185\r\n']
['AVAGFVVCQ', '1.185\r\n']
['LLFGVLALL', '1.185\r\n']
['ALEVFVSVL', '1.185\r\n']
['LVYNLPLIV', '1.185\r\n']
['VVLTPPYVA', '1.185\r\n']
['LLLIFAAVI', '1.184\r\n']
['IGIVLIVLA', '1.184\r\n']
['FCVLVAEYP', '1.184\r\n']
['VLVRGLRVV', '1.184\r\n']
['LVYADIVQV', '1.184\r\n']
['PVVGGVLVA', '1.184\r\n']
['IIQVLGPVV', '1.184\r\n']
['LGVALILCS', '1.183\r\n']
['VAFVAISLL', '1.183\r\n']
['VGSVIVASV', '1.183\r\n']
['VGSVIVASV', '1.183\r\n']
['ILVAVFSAL', '1.183\r\n']
['IVVPLVGAF', '1.183\r\n']
['IAVCPVGAL', '1.183\r\n']
['LLSLVVFSS', '1.183\r\n']
['LHGVGVSVV', '1.183\r\n']
['PAFLFAVVL', '1.182\r\n']
['VFGVLIGVL', '1.182\r\n']
['FGVLIGVLV', '1.182\r\n']
['IDLVVVATL', '1.182\r\n']
